						
	연번	경로당 명	주  소	회원수	"경로당
개설일"	"비고
(휴지/휴지시작연도)"
	1	청 운	종로구 필운대로 86 1층(신교동)	22	1997	
	2	세종마을	종로구 자하문로11길33(통인동)	49	2019	
	3	사 직	종로구사직로9길 15-25(사직동)	70	1993	
	4	복 정	종로구 삼청로4길 22(삼청동)	42	1974	
	5	삼 청	종로구 삼청로5길 30(팔판동)	29	1983	
	6	부 암	종로구 자하문로 260(부암동)	44	1968	
	7	신 영 (임차)	종로구 세검정로6길 76-19(신영동)	44	2018	
	8	구기할아버지	종로구 진흥로 438-6(구기동)	48	1978	
	9	구기할머니	종로구 진흥로 438-8(구기동)	50	2000	
	10	평 창	종로구 평창문화로 48(평창동)	47	1990	
	11	금 강	종로구 평창24길 18(평창동)	43	1995	
	12	롯데아파트	종로구 평창문화로 140(평창동)	22	2003	
	13	삼성아파트	종로구 평창문화로 172(평창동)	21	2009	
	14	무 악	종로구 통일로14길 19(무악동)	20	1987	
	15	무악제2	종로구 통일로 246-11(무악동)	75	2015	
	16	무악현대A	종로구 통일로12길 51(무악동)	34	2001	
	17	인왕산아이파크	종로구 통일로18길 9(무악동)	30	2008	
	18	인왕산2차아이파크	종로구 통일로18길 34(무악동) 	0	2017	휴지/2019
	19	경희궁롯데캐슬아파트	종로구 통일로 230, 102동 1층(무악동, 경희궁롯데캐슬아파트)	24	2019	
	20	교 남	종로구 사직로2길 8(행촌동)	69	1982	
	21	행 촌	종로구 인왕산로1길 58 (행촌동)	36	2002	
	22	경희궁자이1단지	종로구 송월길 130(행촌동, 경희궁자이1단지)	32	2018	
	23	경희궁자이2단지	종로구 송월길 99 (홍파동, 경희궁자이2단지)	102	2018	
	24	경희궁자이3단지	종로구 경교장길 35(평동, 경희궁자이3단지)	21	2018	
	25	가 회	종로구 북촌로 35 (가회동)	35	1965	
	26	북 촌	종로구 북촌로 20-27(재동)	31	1998	
	27	계 원	종로구 창덕궁3가길 6-1(원서동)	30	2002	
	28	원 서	종로구 창덕궁길 94(원서동)	22	1979	
	29	운 니	종로구 삼일대로32길 51(운니동)	38	1992	
	30	우 정	종로구 수표로22길 22(낙원동)	41	1998	
	31	효 성	종로구 종로 183(인의동)	20	2009	
	32	종로5․6가	종로구 종로35가길 19(효제동)	50	2003	
	33	충 신	종로구 율곡로22나길 21(충신동)	53	2004	
	34	충신어르신행복충전소	종로구 낙산성곽서길 65-11(충신동)	39	2018	
	35	마로니에	종로구 낙산1길 21(동숭동)	52	1995	
	36	이 화	종로구 이화장1나길 15(이화동)	102	1998	
	37	연 건	종로구 대학로5길 38 (연건동)	27	2001	
	38	동 숭	종로구 동숭4나길 29(동숭동)	34	2001	
	39	6․25참전유공자	종로구 율곡로19길 17-3 1호 (이화동)	160	2013	
	40	낙산등우회	종로구 낙산성곽서길 184(창신동)	34	1972	
	41	혜 명	종로구 혜화로9길 24-9(명륜1가)	61	1990	
	42	명륜2․4가	종로구 창경궁로26길 7(명륜4가)	51	1995	
	43	명륜3가	종로구 성균관로 50 (명륜1가)	73	1976	
	44	유 림	종로구 성균관로5길 25-13(명륜3가)	66	1976	
	45	아 남A	종로구 창경궁로 265(명륜2가)	36	1996	
	46	창 일	종로구 종로54길 9-23(창신동)	32	1991	
	47	당 고 개(토월)	종로구 종로53길 29(창신동)	35	2004	
	48	창신두산A	종로구 지봉로5길 7(창신동)	35	2000	
	49	창 락	종로구 창신길 191-6(창신동)	52	1987	
	50	창 이	종로구 창신길 98 (창신동)	39	1994	
	51	창 인	종로구 낙산성곽동길 70-3(창신동)	59	2002	
	52	온 고 회	종로구 지봉로13길 14(창신동)	48	1980	
	53	창 삼	종로구 지봉로13길 82(창신동)	44	1981	
	54	쌍용A1단지	종로구 동망산길 19(창신동)	27	1992	
	55	쌍용A2단지	종로구 낙산길 198(창신동)	58	1992	
	56	숭인1상록	종로구 지봉로 86(숭인동)	50	1998	
	57	종로센트레빌	종로구 동망산길 47(숭인동)	26	2009	
	58	롯데캐슬 천지인	종로구 종로347 천동 2층(숭인동)	34	2015	
	59	숭 인 2 	종로구 종로66가길 35(숭인동)	35	1995	
	60	흥 인	종로구 숭인동길 78-8 2층(숭인동)	41	1988	
	61	한 마 음	종로구 숭인동길 78-8 1층(숭인동)	33	1988	
	62	동 원	종로구 숭인동2길 28(숭인동)	44	2004	
	63	힐스테이트	종로구 숭인동길 21(숭인동)	36	2009	
	64	소 공	서소문로11길 10 (서소문동)	48	1996.12.	
